Date,Product,Category,Region,Sales Channel,Customer Segment,Quantity Sold,Unit Price,Total Sales
2024-03-25,Desktop,Electronics,Asia,Wholesale,Corporate,11,1086.22,11948.42
2022-08-16,Tablet,Mobile,Oceania,Retail Store,Corporate,10,1516.71,15167.1
2024-05-26,Desktop,Electronics,Africa,Marketplace,Consumer,61,1334.84,81425.23999999999
2022-08-04,Desktop,Accessories,Europe,Online,Enterprise,81,1811.59,146738.78999999998
2024-08-05,Tablet,Mobile,Africa,Marketplace,Home Office,13,148.95,1936.35
2023-11-27,Desktop,Computers,South America,Marketplace,Corporate,34,1430.61,48640.74
2022-01-15,Laptop,Mobile,Africa,Marketplace,Consumer,60,348.1,20886.0
2022-06-06,Desktop,Mobile,Europe,Wholesale,Enterprise,51,822.26,41935.26
2023-10-10,Tablet,Computers,Africa,Retail Store,Consumer,5,1670.99,8354.95
2022-09-18,Smartwatch,Computers,North America,Wholesale,Corporate,74,435.66,32238.84
2022-06-06,Desktop,Accessories,Europe,Online,Small Business,32,806.66,25813.12
2022-02-16,Smartphone,Computers,Asia,Marketplace,Small Business,12,1772.37,21268.44
2022-11-20,Laptop,Wearables,Africa,Direct Sales,Enterprise,52,1644.47,85512.44
2024-04-23,Laptop,Wearables,North America,Online,Consumer,13,273.05,3549.65
2023-11-16,Smartphone,Accessories,South America,Retail Store,Home Office,85,1464.31,124466.34999999999
2022-05-10,Smartphone,Electronics,South America,Online,Corporate,54,410.77,22181.579999999998
2023-02-15,Desktop,Electronics,Africa,Wholesale,Small Business,97,668.06,64801.81999999999
2022-04-05,Smartphone,Wearables,South America,Direct Sales,Small Business,54,1175.07,63453.78
2023-09-19,Smartwatch,Computers,Asia,Wholesale,Consumer,41,317.9,13033.9
2024-01-25,Tablet,Accessories,Europe,Marketplace,Small Business,48,2484.44,119253.12
2024-07-20,Smartphone,Electronics,North America,Marketplace,Consumer,51,455.16,23213.16
2022-10-19,Smartphone,Electronics,Oceania,Online,Corporate,47,1964.22,92318.34
2024-03-04,Smartwatch,Mobile,Africa,Marketplace,Consumer,50,2083.11,104155.5
2024-03-21,Laptop,Wearables,South America,Marketplace,Small Business,96,2486.44,238698.24
2022-10-10,Laptop,Computers,Europe,Retail Store,Consumer,76,1100.2,83615.2
2022-03-10,Desktop,Accessories,Oceania,Retail Store,Small Business,46,2191.53,100810.38
2023-10-22,Smartwatch,Electronics,Asia,Wholesale,Enterprise,99,2395.97,237201.02999999997
2022-01-11,Tablet,Mobile,South America,Wholesale,Small Business,38,473.59,17996.42
2022-09-11,Tablet,Wearables,South America,Retail Store,Small Business,92,1224.62,112665.04
2024-04-21,Smartwatch,Wearables,North America,Online,Small Business,13,197.03,2561.39
2024-05-21,Tablet,Accessories,Asia,Retail Store,Enterprise,76,1570.77,119378.52
2023-07-04,Laptop,Electronics,Asia,Wholesale,Home Office,22,1474.45,32437.9
2022-05-14,Tablet,Accessories,Africa,Direct Sales,Small Business,2,550.11,1100.22
2023-12-13,Tablet,Accessories,Oceania,Marketplace,Home Office,93,2004.86,186451.97999999998
2022-01-23,Smartwatch,Mobile,North America,Direct Sales,Corporate,77,141.31,10880.87
2024-03-25,Smartwatch,Wearables,Africa,Direct Sales,Consumer,99,2025.26,200500.74
2022-12-12,Tablet,Computers,North America,Marketplace,Home Office,13,115.28,1498.64
2022-10-29,Smartphone,Wearables,Asia,Retail Store,Corporate,57,1659.23,94576.11
2022-12-29,Smartwatch,Wearables,North America,Online,Consumer,34,242.99,8261.66
2023-01-31,Desktop,Mobile,North America,Direct Sales,Small Business,19,665.5,12644.5
2022-08-06,Desktop,Computers,North America,Online,Small Business,9,1818.69,16368.210000000001
2022-05-21,Laptop,Electronics,Europe,Wholesale,Small Business,95,736.99,70014.05
2023-09-08,Tablet,Computers,Europe,Direct Sales,Enterprise,33,1302.38,42978.54
2024-08-15,Smartphone,Electronics,Oceania,Wholesale,Enterprise,27,2292.36,61893.72
2022-07-29,Laptop,Computers,Oceania,Retail Store,Enterprise,45,171.6,7722.0
2023-09-15,Tablet,Accessories,Asia,Direct Sales,Enterprise,2,2037.15,4074.3
2023-09-08,Smartwatch,Computers,North America,Wholesale,Corporate,79,209.92,16583.68
2024-04-07,Desktop,Mobile,Asia,Wholesale,Corporate,83,360.65,29933.949999999997
2023-11-14,Smartphone,Electronics,Europe,Retail Store,Small Business,57,342.33,19512.809999999998
2023-04-05,Desktop,Wearables,North America,Online,Consumer,95,2485.55,236127.25000000003
2022-12-22,Smartwatch,Mobile,Africa,Online,Enterprise,57,491.46,28013.219999999998
2022-11-20,Tablet,Electronics,Europe,Direct Sales,Consumer,16,2247.07,35953.12
2022-05-13,Smartwatch,Electronics,Europe,Retail Store,Corporate,79,2477.78,195744.62000000002
2024-06-06,Smartwatch,Wearables,Europe,Direct Sales,Enterprise,6,990.27,5941.62
2024-03-15,Desktop,Accessories,North America,Online,Corporate,14,1596.07,22344.98
2024-04-19,Smartphone,Mobile,Oceania,Retail Store,Corporate,27,1958.77,52886.79
2022-05-07,Smartwatch,Wearables,South America,Marketplace,Home Office,38,1011.98,38455.24
2022-04-16,Desktop,Wearables,Africa,Retail Store,Corporate,19,446.44,8482.36
2023-08-27,Smartphone,Accessories,Africa,Retail Store,Small Business,37,1112.72,41170.64
2024-03-09,Tablet,Mobile,Asia,Marketplace,Corporate,4,1941.12,7764.48
2023-01-13,Tablet,Wearables,North America,Wholesale,Enterprise,58,1962.87,113846.45999999999
2024-06-23,Laptop,Accessories,Oceania,Wholesale,Small Business,90,614.82,55333.8
2022-02-20,Desktop,Mobile,Europe,Wholesale,Corporate,9,478.67,4308.03
2022-01-29,Smartphone,Computers,South America,Online,Small Business,40,2305.37,92214.79999999999
2023-04-07,Smartwatch,Electronics,North America,Retail Store,Corporate,15,157.8,2367.0
2022-10-23,Tablet,Accessories,North America,Marketplace,Small Business,4,1850.11,7400.44
2022-10-24,Smartphone,Electronics,Oceania,Online,Consumer,90,163.73,14735.699999999999
2023-12-27,Desktop,Computers,South America,Marketplace,Home Office,52,2102.86,109348.72
2024-02-18,Laptop,Wearables,Europe,Online,Small Business,18,2268.27,40828.86
2023-02-11,Tablet,Wearables,North America,Online,Enterprise,53,778.68,41270.04
2024-02-08,Smartphone,Mobile,Africa,Online,Home Office,59,231.14,13637.259999999998
2024-03-24,Smartphone,Accessories,Africa,Marketplace,Home Office,99,1227.68,121540.32
2023-09-05,Smartphone,Accessories,South America,Direct Sales,Corporate,54,781.23,42186.42
2023-02-09,Desktop,Mobile,Europe,Online,Small Business,41,1071.98,43951.18
2022-12-12,Desktop,Electronics,South America,Wholesale,Home Office,60,1679.21,100752.6
2023-09-14,Desktop,Wearables,North America,Retail Store,Enterprise,93,564.07,52458.51
2023-02-24,Smartwatch,Wearables,Africa,Direct Sales,Enterprise,88,924.53,81358.64
2022-07-01,Smartphone,Accessories,Asia,Direct Sales,Enterprise,4,1967.28,7869.12
2024-04-04,Tablet,Accessories,South America,Marketplace,Corporate,85,1627.22,138313.7
2022-01-01,Desktop,Mobile,Asia,Direct Sales,Consumer,39,849.37,33125.43
2024-04-10,Desktop,Computers,Asia,Marketplace,Small Business,7,1677.54,11742.779999999999
2024-08-07,Smartphone,Electronics,Oceania,Marketplace,Home Office,23,1925.02,44275.46
2023-07-21,Desktop,Computers,Africa,Wholesale,Small Business,85,1501.59,127635.15
2023-01-06,Smartwatch,Computers,South America,Online,Home Office,63,636.77,40116.51
2024-07-24,Smartwatch,Accessories,Asia,Direct Sales,Corporate,65,50.6,3289.0
2024-06-29,Desktop,Accessories,North America,Online,Small Business,41,2016.98,82696.18000000001
2023-10-23,Smartphone,Accessories,Oceania,Online,Corporate,89,2065.45,183825.05
2023-03-07,Smartphone,Computers,Europe,Online,Corporate,95,1759.13,167117.35
2024-08-26,Smartphone,Electronics,Oceania,Marketplace,Small Business,44,237.62,10455.28
2022-11-05,Laptop,Accessories,Europe,Online,Small Business,45,1483.79,66770.55
2022-05-17,Desktop,Wearables,Africa,Direct Sales,Home Office,69,2061.5,142243.5
2022-07-21,Smartphone,Electronics,South America,Marketplace,Enterprise,95,1004.69,95445.55
2023-03-12,Smartwatch,Wearables,South America,Direct Sales,Corporate,51,535.1,27290.100000000002
2022-11-09,Tablet,Electronics,Europe,Marketplace,Consumer,65,1489.69,96829.85
2022-04-27,Tablet,Accessories,North America,Retail Store,Home Office,54,2074.45,112020.29999999999
2023-10-28,Smartphone,Mobile,Europe,Retail Store,Home Office,56,169.73,9504.88
2024-07-25,Tablet,Accessories,Europe,Retail Store,Enterprise,94,1512.53,142177.82
2024-03-13,Tablet,Computers,South America,Retail Store,Enterprise,82,1625.78,133313.96
2023-07-29,Laptop,Computers,Asia,Marketplace,Corporate,72,1525.8,109857.59999999999
2022-09-01,Smartwatch,Electronics,North America,Online,Home Office,90,1642.58,147832.19999999998
2023-06-21,Smartwatch,Computers,South America,Wholesale,Home Office,40,1596.87,63874.799999999996
2023-08-25,Laptop,Accessories,Oceania,Wholesale,Consumer,58,369.49,21430.420000000002
2022-03-16,Laptop,Wearables,Europe,Retail Store,Corporate,15,625.6,9384.0
2024-03-16,Tablet,Accessories,Asia,Online,Corporate,19,1566.54,29764.26
2023-01-21,Desktop,Electronics,North America,Direct Sales,Enterprise,10,93.35,933.5
2024-06-21,Tablet,Computers,Africa,Online,Corporate,88,1605.12,141250.56
2022-07-29,Laptop,Wearables,North America,Direct Sales,Consumer,16,1680.2,26883.2
2023-04-20,Smartwatch,Mobile,North America,Wholesale,Corporate,43,635.98,27347.14
2023-02-22,Tablet,Wearables,Europe,Online,Small Business,31,1515.43,46978.33
2022-12-13,Desktop,Wearables,Europe,Online,Small Business,16,1358.52,21736.32
2023-06-13,Tablet,Accessories,Africa,Wholesale,Consumer,80,688.69,55095.200000000004
2023-10-02,Smartphone,Mobile,Africa,Online,Enterprise,28,1184.29,33160.119999999995
2024-07-27,Tablet,Electronics,Africa,Direct Sales,Home Office,62,2278.58,141271.96
2024-08-12,Laptop,Electronics,South America,Online,Corporate,20,1095.18,21903.600000000002
2024-05-25,Smartwatch,Wearables,South America,Direct Sales,Enterprise,35,1593.12,55759.2
2024-02-02,Smartwatch,Wearables,Europe,Retail Store,Enterprise,59,136.61,8059.990000000001
2022-06-28,Laptop,Computers,Europe,Online,Corporate,9,240.61,2165.4900000000002
2022-07-01,Smartphone,Mobile,Africa,Direct Sales,Home Office,10,249.2,2492.0
2023-10-26,Laptop,Wearables,South America,Wholesale,Corporate,45,1956.69,88051.05
2022-01-25,Tablet,Computers,Asia,Retail Store,Home Office,82,908.13,74466.66
2024-08-24,Laptop,Mobile,South America,Online,Consumer,15,607.65,9114.75
2022-06-29,Laptop,Electronics,Europe,Direct Sales,Home Office,30,1880.95,56428.5
2023-12-11,Smartphone,Computers,South America,Online,Enterprise,48,466.4,22387.199999999997
2023-05-16,Tablet,Mobile,Europe,Direct Sales,Consumer,96,653.91,62775.36
2024-05-05,Desktop,Computers,Africa,Online,Small Business,40,1105.78,44231.2
2022-06-10,Desktop,Wearables,Africa,Retail Store,Consumer,91,862.02,78443.81999999999
2022-06-26,Smartwatch,Accessories,Africa,Retail Store,Home Office,91,1484.21,135063.11000000002
2022-10-12,Laptop,Electronics,Asia,Online,Consumer,83,877.71,72849.93000000001
2022-03-04,Smartwatch,Wearables,Asia,Online,Consumer,74,1012.73,74942.02
2023-10-24,Smartphone,Wearables,Europe,Marketplace,Small Business,44,2164.07,95219.08
2023-10-28,Desktop,Mobile,North America,Online,Home Office,46,2217.1,101986.59999999999
2022-06-05,Laptop,Computers,Oceania,Online,Enterprise,6,2077.89,12467.34
2024-05-31,Smartphone,Electronics,Asia,Retail Store,Consumer,24,2168.84,52052.16
2023-04-14,Smartphone,Wearables,Europe,Online,Corporate,73,1445.84,105546.31999999999
2022-02-18,Laptop,Mobile,South America,Wholesale,Enterprise,91,1633.27,148627.57
2024-08-24,Smartphone,Electronics,Africa,Online,Consumer,7,1415.07,9905.49
2024-04-28,Laptop,Computers,Africa,Marketplace,Enterprise,6,1974.69,11848.14
2022-03-25,Laptop,Wearables,Africa,Direct Sales,Corporate,33,1399.95,46198.35
2022-12-27,Tablet,Wearables,Europe,Retail Store,Enterprise,85,322.14,27381.899999999998
2023-11-20,Smartwatch,Wearables,Africa,Wholesale,Enterprise,38,2033.47,77271.86
2022-05-28,Smartphone,Electronics,Asia,Direct Sales,Corporate,44,1913.43,84190.92
2023-09-22,Smartphone,Electronics,South America,Wholesale,Corporate,17,2059.74,35015.579999999994
2022-12-08,Tablet,Electronics,Africa,Retail Store,Corporate,31,516.55,16013.05
2023-04-21,Tablet,Electronics,Europe,Marketplace,Small Business,37,715.46,26472.02
2022-03-04,Tablet,Mobile,South America,Retail Store,Corporate,11,774.59,8520.49
2023-12-02,Desktop,Accessories,Africa,Wholesale,Enterprise,92,1294.8,119121.59999999999
2022-12-26,Desktop,Mobile,North America,Wholesale,Corporate,5,378.0,1890.0
2023-07-15,Desktop,Wearables,Africa,Retail Store,Consumer,64,994.19,63628.16
2022-11-23,Laptop,Mobile,Oceania,Online,Corporate,76,496.29,37718.04
2024-02-08,Smartphone,Computers,Asia,Retail Store,Corporate,3,698.67,2096.0099999999998
2024-01-06,Smartwatch,Electronics,South America,Marketplace,Home Office,56,1780.65,99716.40000000001
2022-05-21,Laptop,Computers,Asia,Retail Store,Enterprise,63,2144.29,135090.27
2022-08-03,Smartphone,Computers,North America,Direct Sales,Enterprise,38,106.12,4032.5600000000004
2023-03-11,Smartphone,Wearables,North America,Online,Consumer,54,1436.45,77568.3
2024-06-09,Tablet,Electronics,Oceania,Direct Sales,Small Business,2,138.35,276.7
2024-08-09,Tablet,Computers,Asia,Retail Store,Home Office,90,258.86,23297.4
2023-12-24,Laptop,Wearables,South America,Online,Consumer,2,1777.46,3554.92
2022-11-14,Tablet,Electronics,North America,Direct Sales,Consumer,12,1852.24,22226.88
2022-02-01,Smartphone,Accessories,North America,Direct Sales,Enterprise,40,2044.25,81770.0
2023-11-01,Tablet,Wearables,Africa,Online,Home Office,2,1211.89,2423.78
2022-10-12,Desktop,Mobile,Oceania,Online,Enterprise,80,2156.53,172522.40000000002
2022-11-01,Tablet,Electronics,Europe,Wholesale,Small Business,94,458.75,43122.5
2023-03-05,Smartphone,Computers,North America,Online,Enterprise,57,661.81,37723.17
2023-04-22,Laptop,Computers,South America,Retail Store,Corporate,47,379.53,17837.91
2022-10-13,Smartwatch,Mobile,South America,Marketplace,Enterprise,36,2003.97,72142.92
2022-05-24,Tablet,Mobile,Africa,Wholesale,Corporate,4,610.25,2441.0
2023-02-28,Smartphone,Computers,South America,Online,Consumer,75,431.0,32325.0
2022-01-19,Smartwatch,Electronics,Africa,Marketplace,Small Business,24,1576.62,37838.88
2022-01-18,Smartwatch,Wearables,North America,Wholesale,Corporate,82,238.85,19585.7
2024-02-08,Desktop,Mobile,North America,Retail Store,Small Business,91,160.01,14560.91
2023-08-13,Smartwatch,Mobile,North America,Marketplace,Enterprise,62,311.46,19310.52
2023-01-06,Smartphone,Mobile,North America,Online,Enterprise,2,50.59,101.18
2022-06-24,Smartphone,Accessories,Europe,Online,Consumer,15,1757.63,26364.45
2022-07-13,Tablet,Electronics,Oceania,Retail Store,Enterprise,75,1427.48,107061.0
2023-05-17,Tablet,Electronics,Oceania,Wholesale,Corporate,91,564.19,51341.29000000001
2022-04-23,Tablet,Electronics,Europe,Marketplace,Consumer,49,620.86,30422.14
2022-04-24,Smartwatch,Electronics,North America,Retail Store,Small Business,87,2036.87,177207.69
2022-08-10,Smartwatch,Electronics,South America,Wholesale,Consumer,35,1279.46,44781.1
2023-11-09,Desktop,Computers,Africa,Direct Sales,Small Business,94,1761.39,165570.66
2024-08-04,Tablet,Mobile,Oceania,Direct Sales,Home Office,47,1159.25,54484.75
2024-04-10,Laptop,Computers,Asia,Wholesale,Corporate,24,632.41,15177.84
2023-10-06,Desktop,Accessories,Africa,Online,Corporate,83,2427.49,201481.66999999998
2024-06-15,Laptop,Wearables,Asia,Online,Small Business,60,1435.84,86150.4
2022-09-21,Smartwatch,Mobile,Asia,Direct Sales,Enterprise,93,370.91,34494.630000000005
2024-07-13,Desktop,Accessories,North America,Online,Enterprise,77,1044.92,80458.84000000001
2022-02-24,Desktop,Computers,Asia,Online,Home Office,48,856.88,41130.24
2024-05-20,Smartphone,Wearables,North America,Wholesale,Small Business,23,574.51,13213.73
2023-10-05,Smartwatch,Accessories,Europe,Wholesale,Home Office,12,2336.93,28043.159999999996
2024-03-10,Smartwatch,Wearables,South America,Online,Small Business,41,2208.25,90538.25
2024-02-17,Desktop,Accessories,Asia,Wholesale,Home Office,29,537.91,15599.39
2023-04-03,Smartwatch,Computers,South America,Marketplace,Small Business,70,912.76,63893.2
2024-05-27,Desktop,Wearables,North America,Direct Sales,Corporate,51,1917.67,97801.17
2022-06-11,Smartphone,Accessories,Asia,Marketplace,Home Office,23,560.84,12899.320000000002
2023-01-15,Desktop,Computers,Africa,Marketplace,Home Office,31,1499.33,46479.229999999996
2022-03-28,Smartwatch,Mobile,Europe,Online,Small Business,21,1764.5,37054.5
2022-02-24,Smartwatch,Computers,Oceania,Online,Consumer,24,1652.23,39653.520000000004
2023-04-21,Desktop,Computers,Europe,Marketplace,Consumer,72,1780.7,128210.40000000001
2024-03-10,Desktop,Mobile,Asia,Marketplace,Corporate,9,1781.41,16032.69
2022-06-27,Desktop,Computers,Europe,Retail Store,Enterprise,22,2413.77,53102.94
2023-01-26,Tablet,Mobile,Oceania,Retail Store,Enterprise,4,898.92,3595.68
2022-12-15,Smartwatch,Mobile,Africa,Direct Sales,Corporate,77,2202.55,169596.35
2022-01-08,Smartwatch,Mobile,South America,Marketplace,Enterprise,98,103.43,10136.140000000001
2024-04-12,Tablet,Accessories,Africa,Wholesale,Small Business,3,756.1,2268.3
2022-11-09,Desktop,Wearables,Europe,Retail Store,Consumer,28,169.21,4737.88
2024-01-29,Smartphone,Accessories,Oceania,Online,Corporate,90,1645.45,148090.5
2024-04-14,Desktop,Mobile,South America,Marketplace,Small Business,98,296.94,29100.12
2023-03-19,Desktop,Wearables,Oceania,Wholesale,Corporate,15,2121.98,31829.7
2024-02-06,Tablet,Wearables,Africa,Wholesale,Consumer,8,1634.15,13073.2
2022-11-24,Smartwatch,Mobile,North America,Wholesale,Enterprise,48,120.6,5788.799999999999
2022-02-23,Desktop,Wearables,North America,Online,Small Business,99,1801.2,178318.80000000002
2024-01-31,Smartwatch,Wearables,South America,Retail Store,Consumer,88,2161.99,190255.12
2022-08-27,Laptop,Accessories,South America,Wholesale,Corporate,52,1669.75,86827.0
2022-08-17,Smartwatch,Wearables,South America,Retail Store,Home Office,55,124.78,6862.9
2023-08-02,Smartphone,Mobile,North America,Direct Sales,Small Business,37,2151.9,79620.3
2022-02-20,Smartphone,Electronics,Africa,Online,Corporate,4,1844.54,7378.16
2023-09-01,Desktop,Electronics,South America,Retail Store,Corporate,55,977.21,53746.55
2023-08-27,Smartwatch,Electronics,North America,Retail Store,Consumer,12,855.14,10261.68
2022-09-21,Desktop,Mobile,South America,Wholesale,Corporate,19,1225.56,23285.64
2023-02-22,Tablet,Electronics,South America,Wholesale,Small Business,79,2174.4,171777.6
2024-03-13,Smartphone,Accessories,Oceania,Online,Small Business,57,667.55,38050.35
2022-04-06,Desktop,Mobile,South America,Retail Store,Corporate,94,297.36,27951.84
2022-03-29,Tablet,Mobile,North America,Marketplace,Consumer,37,2168.36,80229.32
2022-03-19,Desktop,Mobile,Africa,Wholesale,Small Business,76,114.41,8695.16
2022-10-15,Smartwatch,Wearables,North America,Wholesale,Home Office,83,2281.94,189401.02000000002
2022-04-30,Smartwatch,Wearables,North America,Direct Sales,Enterprise,98,799.08,78309.84000000001
2024-03-24,Smartwatch,Wearables,South America,Online,Consumer,7,1295.15,9066.050000000001
2023-05-06,Smartwatch,Computers,Oceania,Retail Store,Consumer,92,374.12,34419.04
2024-06-30,Laptop,Accessories,Asia,Retail Store,Enterprise,55,2260.52,124328.6
2023-03-28,Tablet,Mobile,Asia,Retail Store,Enterprise,28,1887.1,52838.799999999996
2023-05-15,Tablet,Mobile,Asia,Wholesale,Small Business,93,2314.18,215218.74
2022-06-14,Smartwatch,Wearables,North America,Online,Corporate,37,1723.91,63784.670000000006
2022-07-01,Laptop,Mobile,South America,Retail Store,Corporate,84,502.5,42210.0
2023-04-14,Smartwatch,Mobile,Asia,Marketplace,Home Office,61,805.25,49120.25
2024-06-28,Laptop,Electronics,Europe,Direct Sales,Corporate,75,1242.78,93208.5
2024-01-05,Smartwatch,Mobile,Europe,Direct Sales,Home Office,39,1537.78,59973.42
2024-04-02,Smartphone,Computers,Europe,Retail Store,Home Office,23,2319.83,53356.09
2024-08-01,Smartphone,Wearables,Africa,Wholesale,Consumer,52,990.68,51515.36
2022-01-07,Desktop,Accessories,South America,Direct Sales,Consumer,84,1772.53,148892.52
2022-11-26,Smartwatch,Accessories,North America,Direct Sales,Small Business,84,2404.47,201975.47999999998
2024-02-14,Tablet,Electronics,North America,Direct Sales,Enterprise,11,423.32,4656.5199999999995
2023-11-04,Desktop,Accessories,South America,Direct Sales,Enterprise,66,2163.64,142800.24
2022-05-31,Smartphone,Accessories,Oceania,Retail Store,Home Office,13,1080.73,14049.49
2022-03-26,Smartwatch,Wearables,Oceania,Online,Enterprise,77,1844.43,142021.11000000002
2022-05-27,Desktop,Wearables,Africa,Online,Home Office,41,769.17,31535.969999999998
2023-09-16,Smartwatch,Computers,South America,Wholesale,Enterprise,49,868.26,42544.74
2023-01-16,Smartphone,Electronics,Oceania,Marketplace,Small Business,15,116.48,1747.2
2024-07-03,Desktop,Accessories,Africa,Online,Consumer,56,2429.94,136076.64
2023-07-02,Smartphone,Computers,Asia,Marketplace,Consumer,54,2042.96,110319.84
2022-10-12,Laptop,Electronics,Asia,Online,Home Office,31,280.1,8683.1
2023-12-01,Smartphone,Accessories,Africa,Online,Enterprise,61,2498.8,152426.80000000002
2022-03-23,Smartwatch,Accessories,South America,Wholesale,Corporate,58,1532.31,88873.98
2023-05-29,Tablet,Wearables,Asia,Direct Sales,Small Business,87,2141.64,186322.68
2024-06-15,Smartphone,Mobile,South America,Wholesale,Enterprise,60,213.32,12799.199999999999
2024-03-25,Tablet,Electronics,Oceania,Online,Corporate,53,1004.16,53220.479999999996
2023-12-10,Laptop,Accessories,Asia,Direct Sales,Small Business,86,1690.65,145395.9
2024-07-04,Desktop,Electronics,Oceania,Direct Sales,Small Business,61,310.76,18956.36
2023-06-07,Desktop,Computers,South America,Direct Sales,Consumer,80,1247.81,99824.79999999999
2024-01-16,Tablet,Computers,South America,Marketplace,Home Office,42,1134.56,47651.52
2023-01-21,Desktop,Mobile,Europe,Online,Enterprise,29,579.3,16799.699999999997
2023-12-08,Smartphone,Accessories,Africa,Retail Store,Small Business,84,785.66,65995.44
2023-04-16,Tablet,Wearables,North America,Wholesale,Enterprise,92,2419.44,222588.48
2022-04-29,Smartwatch,Accessories,Africa,Marketplace,Small Business,27,757.19,20444.13
2023-01-31,Smartphone,Electronics,South America,Wholesale,Consumer,44,572.89,25207.16
2023-06-16,Smartphone,Computers,South America,Retail Store,Home Office,93,1363.71,126825.03
2022-09-18,Smartphone,Electronics,Africa,Direct Sales,Corporate,5,1693.85,8469.25
2024-03-15,Smartwatch,Mobile,South America,Retail Store,Corporate,52,1826.48,94976.96
2024-07-22,Laptop,Computers,Oceania,Wholesale,Consumer,53,1897.91,100589.23000000001
2022-09-13,Desktop,Wearables,Asia,Retail Store,Small Business,52,140.24,7292.4800000000005
2024-01-04,Tablet,Computers,South America,Online,Consumer,38,1014.71,38558.98
2024-06-23,Laptop,Accessories,Africa,Retail Store,Home Office,44,1946.2,85632.8
2022-08-14,Tablet,Accessories,Africa,Online,Corporate,53,2266.89,120145.17
2022-02-22,Desktop,Computers,Africa,Retail Store,Enterprise,2,1525.39,3050.78
2024-07-28,Smartwatch,Mobile,Europe,Online,Corporate,54,178.15,9620.1
2024-05-16,Smartphone,Accessories,Oceania,Online,Home Office,84,1021.78,85829.52
2023-05-15,Smartphone,Accessories,Oceania,Retail Store,Small Business,77,231.86,17853.22
2023-05-21,Smartwatch,Wearables,Europe,Marketplace,Consumer,90,1883.92,169552.80000000002
2024-05-03,Laptop,Computers,Oceania,Direct Sales,Corporate,35,205.59,7195.650000000001
2022-12-30,Laptop,Accessories,Europe,Direct Sales,Corporate,46,505.04,23231.84
2022-10-07,Tablet,Mobile,Oceania,Direct Sales,Enterprise,72,1071.55,77151.59999999999
2023-08-16,Smartwatch,Electronics,Europe,Online,Consumer,92,1183.49,108881.08
2023-12-15,Laptop,Computers,Europe,Direct Sales,Enterprise,79,1045.88,82624.52
2022-06-07,Smartwatch,Wearables,Oceania,Online,Enterprise,55,1185.32,65192.6
2023-09-24,Desktop,Accessories,Europe,Marketplace,Small Business,72,1797.44,129415.68000000001
2022-02-28,Smartphone,Mobile,Oceania,Retail Store,Corporate,11,954.71,10501.810000000001
2023-12-28,Smartphone,Computers,Europe,Retail Store,Consumer,29,1391.99,40367.71
2022-05-08,Smartphone,Mobile,Africa,Online,Small Business,69,793.25,54734.25
2024-01-06,Smartwatch,Mobile,North America,Online,Small Business,63,916.39,57732.57
2023-12-22,Smartwatch,Wearables,Oceania,Marketplace,Small Business,47,1553.81,73029.06999999999
2024-05-31,Tablet,Computers,Europe,Direct Sales,Home Office,7,1251.71,8761.970000000001
2022-04-25,Smartphone,Accessories,Africa,Marketplace,Home Office,64,1821.44,116572.16
2022-07-28,Tablet,Wearables,North America,Retail Store,Small Business,82,1423.32,116712.23999999999
2023-06-10,Smartphone,Accessories,Europe,Retail Store,Home Office,64,2018.76,129200.64
2023-06-05,Tablet,Electronics,North America,Direct Sales,Consumer,92,1136.35,104544.2
2023-07-06,Tablet,Mobile,Oceania,Retail Store,Corporate,12,1253.03,15036.36
2024-08-19,Desktop,Electronics,North America,Online,Consumer,12,1691.43,20297.16
2022-08-25,Tablet,Mobile,Asia,Retail Store,Corporate,36,592.05,21313.8
2022-10-08,Smartwatch,Wearables,South America,Wholesale,Home Office,29,995.53,28870.37
2022-12-25,Tablet,Accessories,Asia,Direct Sales,Consumer,11,1580.86,17389.46
2022-07-20,Smartphone,Accessories,Oceania,Direct Sales,Enterprise,53,120.75,6399.75
2024-01-28,Tablet,Wearables,Oceania,Direct Sales,Small Business,70,1120.58,78440.59999999999
2022-10-05,Laptop,Computers,North America,Wholesale,Corporate,85,1517.18,128960.3
2022-08-23,Smartphone,Electronics,Africa,Marketplace,Corporate,74,2420.07,179085.18000000002
2023-05-09,Laptop,Electronics,Europe,Online,Enterprise,96,2198.69,211074.24
2022-01-04,Smartphone,Accessories,South America,Direct Sales,Enterprise,47,737.82,34677.54
2023-10-28,Smartwatch,Accessories,Europe,Retail Store,Small Business,33,1292.66,42657.780000000006
2023-03-18,Smartwatch,Accessories,Africa,Online,Home Office,81,188.22,15245.82
2022-01-29,Smartwatch,Wearables,Oceania,Retail Store,Consumer,67,639.85,42869.950000000004
2022-04-19,Laptop,Computers,South America,Online,Consumer,43,1948.4,83781.2
2023-09-02,Desktop,Electronics,Asia,Online,Consumer,18,352.12,6338.16
2023-12-28,Smartphone,Mobile,Oceania,Retail Store,Home Office,74,681.34,50419.16
2024-03-15,Smartwatch,Wearables,Oceania,Retail Store,Small Business,53,2362.9,125233.70000000001
2022-03-16,Smartphone,Electronics,North America,Online,Consumer,39,2068.45,80669.54999999999
2024-04-17,Laptop,Computers,Africa,Direct Sales,Corporate,72,1965.48,141514.56
2022-05-26,Desktop,Wearables,North America,Retail Store,Corporate,34,2168.17,73717.78
2022-05-08,Laptop,Electronics,North America,Wholesale,Corporate,37,1886.53,69801.61
